p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.998326657248718,0.226,0.03,0,15,Tnfsf14
0,1.7938486918801702,0.957,0.767,0,15,Zfp36
0,2.2230409776128015,0.99,0.845,0,15,Zfp36l1
0,1.0004725519224102,1,0.998,0,15,Srgn
0,4.620551079011426,0.923,0.22,0,16,Gm15564
0,2.3773534113771313,0.883,0.505,0,16,Cd44
0,2.0052271729843567,0.875,0.548,0,16,Gm48099
0,2.6415150309716413,0.991,0.84,0,16,Camk1d
0,2.7545363481513547,0.999,0.891,0,16,Gphn
0,2.9719195569787202,1,0.908,0,16,Il31ra
0,4.305228115087004,1,0.932,0,16,Lars2
0,2.2875755477737383,1,0.991,0,16,Hexb
0,1.6498059995393883,0.999,0.993,0,16,Cmss1
0,3.819654542571439,0.925,0.78,0,17,Zc3h7a
0,1.192124374208311,0.992,0.891,0,17,mt-Atp8
0,5.818405697963298,0.103,0.003,0,17,Rmrp
0,1.9803503151644697,0.994,0.932,0,17,Lars2
0,3.5206965723232475,0.994,0.947,0,17,AY036118
0,1.0217853837488562,1,1,0,17,mt-Co2
0,1.070515014607098,1,1,0,17,mt-Atp6
0,9.096474031333216,1,0.033,0,18,Hist1h2ab
0,6.276578330875859,0.99,0.044,0,18,Fbxo5
0,6.151888469164964,0.976,0.031,0,18,Ccna2
0,6.1542442055435576,0.971,0.027,0,18,Clspn
0,8.57937313526258,0.949,0.006,0,18,Esco2
0,6.269397803312658,0.974,0.035,0,18,Cdk1
0,6.12017651562233,0.997,0.062,0,18,Pclaf
0,6.4436833120508155,0.98,0.048,0,18,Kif11
0,5.667186655983116,0.972,0.043,0,18,Spc24
0,5.251835395345819,0.982,0.055,0,18,Birc5
0,5.956948144534037,0.955,0.035,0,18,Knl1
0,6.631545804134112,0.956,0.036,0,18,Hist1h2bj
0,7.751967341150278,0.951,0.033,0,18,Hist1h1a
0,6.7933883664003085,0.949,0.034,0,18,Hist1h2ak
0,7.935392382098836,0.999,0.088,0,18,Hist1h2ae
0,6.228285774572731,0.993,0.085,0,18,Rrm2
0,5.367049374596295,0.97,0.064,0,18,Kif15
0,5.425802676934089,0.992,0.087,0,18,Asf1b
0,7.0923266185116685,0.914,0.013,0,18,Neil3
0,8.406129116313478,1,0.106,0,18,Hist1h1b
0,7.479327032067311,0.904,0.011,0,18,Hist1h2ap
0,5.792638912054073,0.943,0.05,0,18,Aurkb
0,5.52791530340184,0.933,0.041,0,18,Ncapg2
0,5.870397480260213,0.922,0.034,0,18,Ncaph
0,5.724601776840851,0.915,0.028,0,18,Rad51
0,7.39803143683912,0.907,0.021,0,18,Nusap1
0,6.102907790225732,0.939,0.053,0,18,Hist1h3f
0,5.1586716371464245,0.977,0.092,0,18,Tk1
0,7.909298477946448,0.89,0.009,0,18,Hist1h3c
0,5.908404845943439,0.982,0.104,0,18,Hist1h3e
0,7.534142339624403,0.889,0.012,0,18,Hist1h2bm
0,5.2344698814599475,0.997,0.122,0,18,Stmn1
0,5.404211516633497,0.913,0.039,0,18,Tpx2
0,4.742571849949352,0.949,0.083,0,18,Cdca8
0,4.885535689321584,0.947,0.081,0,18,Uhrf1
0,4.854436728938102,0.94,0.077,0,18,Tacc3
0,4.379309515721231,0.973,0.119,0,18,Diaph3
0,5.453183424644592,0.906,0.053,0,18,Kif22
0,7.046608289435861,0.862,0.01,0,18,E2f8
0,4.0943304018677,0.956,0.109,0,18,Cks1b
0,5.298130807931766,0.9,0.054,0,18,Cenpe
0,5.122076570576857,0.9,0.057,0,18,Cdca3
0,4.566324943209988,0.918,0.076,0,18,Prim1
0,6.422997272376832,0.855,0.015,0,18,Rad51ap1
0,5.998705816227106,0.862,0.023,0,18,Ckap2l
0,6.074932217564547,0.859,0.02,0,18,Kif4
0,5.047639218018192,0.893,0.055,0,18,Ncapg
0,5.64819409013254,0.887,0.051,0,18,Hist2h2bb
0,4.715093124094466,0.916,0.084,0,18,Tcf19
0,4.899406127384244,0.947,0.116,0,18,Prc1
0,4.44882264065414,0.958,0.129,0,18,Lig1
0,5.271163252714095,0.867,0.038,0,18,Cenpp
0,5.26468680615966,0.864,0.038,0,18,Brip1
0,5.9412108913249275,0.995,0.171,0,18,Hist1h1d
0,5.691140965753172,0.842,0.028,0,18,Cdca2
0,4.06133172020473,0.965,0.152,0,18,Mcm5
0,4.236523277044808,0.933,0.121,0,18,Ncapd2
0,4.312338530049914,0.91,0.099,0,18,Ndc80
0,7.793331866111536,0.819,0.008,0,18,Mxd3
0,4.580035891814928,0.984,0.175,0,18,Tyms
0,6.348280622007279,0.827,0.021,0,18,Ccnf
0,5.779117581224719,0.827,0.023,0,18,Stil
0,3.938001601858212,0.911,0.109,0,18,Plk4
